classic_tps	classic_median	classic_p95	recovery_tps	recovery_median	recovery_p95
9.96	6.48	9.79	9.97	7.38	9.60
19.58	5.52	7.64	19.56	7.29	9.51
38.22	5.12	6.98	37.70	6.94	10.34
77.50	4.77	6.90	78.29	6.45	12.95
117.64	6.35	12.45	90.81	77.60	128.02
111.83	79.58	6796.40	110.30	195.82	10134.78
